model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,0,0,0.0,28.061153,27.317846,153.79082,170.75786,0.0,5.615673e-05,0.0,0,0
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,1,100,0.01,28.057413,27.3134,153.9004,170.86679,170.95007,6.360643e-05,6.3915184e-05,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,1,100,0.04,28.057247,27.311638,153.78543,170.65375,170.73851,6.2435276e-05,6.280459e-05,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,1,100,0.08,28.063019,27.320284,154.00375,171.01236,171.11476,6.327784e-05,6.359123e-05,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,1,100,0.1,28.057386,27.311844,153.99878,171.01051,171.11142,6.309841e-05,6.337225e-05,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,1,100,0.2,28.051714,27.279118,154.28807,171.87975,171.96399,6.7230874e-05,6.754855e-05,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,1,100,0.5,28.05624,27.304838,153.9871,171.0176,171.10632,6.514533e-05,6.546978e-05,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,1,100,1.0,28.066305,27.33939,153.64207,170.39932,170.52039,6.151318e-05,6.025268e-05,3,98
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,1,100,1.5,28.051102,27.301899,153.98259,171.05257,171.28616,6.2748826e-05,5.779733e-05,9,92
JCBgma10,BSD68,0.1,1,10,1000.0,1.0,1,100,2.0,28.064213,27.332504,153.56824,170.34155,170.60774,6.226981e-05,5.718092e-05,13,88
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,0,0,0.0,28.064922,26.477676,153.71414,212.6119,0.0,0.00034284283,0.0,0,0
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,1,100,0.01,28.052729,26.443342,153.99641,214.73958,215.03043,0.0003643851,0.00036673385,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,1,100,0.04,28.061726,26.517748,153.7724,210.14853,210.40675,0.0003272912,0.0003291699,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,1,100,0.08,28.061216,26.47057,153.89343,213.37082,213.65623,0.0003537432,0.0003558512,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,1,100,0.1,28.068037,26.545158,153.70145,209.74937,210.02672,0.00032554904,0.00032763352,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,1,100,0.2,28.069357,26.532154,153.68724,210.31624,210.59843,0.00033102254,0.00033319055,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,1,100,0.5,28.055933,26.52272,153.7165,210.02827,210.29759,0.00033056477,0.0003325132,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,1,100,1.0,28.050667,26.499556,154.10449,211.9221,212.20079,0.00033903265,0.0003411409,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,1,100,1.5,28.064499,26.482931,153.80356,212.78206,213.05624,0.00034952068,0.00035142535,0,99
JCBgma10,BSD68,0.1,1,10,1000.0,10.0,1,100,2.0,28.07302,26.514082,153.61937,211.44164,211.71423,0.00034144646,0.0003436395,0,99
JCBgma10,BSD68,0.1,1,2,5000.0,5.0,0,0,0.0,28.0639,26.849548,153.87599,197.12666,0.0,0.00020913233,0.0,0,0
