model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ordinary,BSD68,0.1,1,5,10000.0,5.0,1,100,0.1,27.881536,23.951015,160.27234,303.24524,303.93726,0.0012411406,0.0012500194,0,99
JCBgma20,BSD68,0.1,1,5,10000.0,5.0,1,100,0.1,28.186705,24.170414,149.37878,286.16498,286.4182,0.001290561,0.0012959463,0,99
ADV,BSD68,0.1,1,5,10000.0,5.0,1,100,0.1,28.070984,24.08839,153.95024,293.66275,294.42685,0.0012194486,0.0012289883,0,99
smtADV,BSD68,0.1,1,5,10000.0,5.0,1,100,0.1,25.45722,21.457579,262.6567,513.92706,666.9083,0.0053231344,0.010598331,0,99
STH,BSD68,0.1,1,5,10000.0,5.0,1,100,0.1,26.438753,24.362679,190.62451,292.65164,367.7286,0.0010226015,0.0023445669,0,99
ordinary,BSD68,0.1,1,5,10000.0,5.0,1,500,0.1,27.866123,23.88489,160.52884,305.72208,306.55634,0.0012615726,0.0012722156,0,499
JCBgma20,BSD68,0.1,1,5,10000.0,5.0,1,500,0.1,28.193947,24.00654,149.29533,294.08813,294.555,0.001357371,0.0013647256,0,499
ADV,BSD68,0.1,1,5,10000.0,5.0,1,500,0.1,28.072687,24.108728,153.87988,292.28076,293.35526,0.0012099087,0.0012226859,0,499
smtADV,BSD68,0.1,1,5,10000.0,5.0,1,500,0.1,25.453096,20.539646,262.79602,617.8792,845.9742,0.008048776,0.016223019,0,499
STH,BSD68,0.1,1,5,10000.0,5.0,1,500,0.1,26.450893,23.602402,190.26201,348.31836,440.7929,0.0018119969,0.0034277623,0,499
ordinary,BSD68,0.1,1,5,10000.0,5.0,1,1000,0.1,27.883743,23.9319,160.19,303.39212,304.47806,0.0012516044,0.0012647018,0,999
JCBgma20,BSD68,0.1,1,5,10000.0,5.0,1,1000,0.1,28.181984,24.153458,149.52379,286.40353,286.83643,0.0012808364,0.0012888643,0,999
ADV,BSD68,0.1,1,5,10000.0,5.0,1,1000,0.1,28.073158,24.157131,153.7545,290.171,291.1443,0.0011993868,0.0012117287,0,999
smtADV,BSD68,0.1,1,5,10000.0,5.0,1,1000,0.1,25.44875,20.143053,262.607,670.5524,940.1005,0.009367905,0.018973425,0,999
STH,BSD68,0.1,1,5,10000.0,5.0,1,1000,0.1,26.413425,23.297844,191.41003,372.25348,470.76907,0.0021312856,0.0038499485,0,999
