model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ordinary,BSD68,0.1,1,5,20000.0,40.0,0,0,0.0,27.861004,16.310337,160.71767,1666.0826,0.0,0.02011407,0.0,0,0
smtADV,BSD68,0.1,1,5,20000.0,40.0,0,0,0.0,25.456272,17.587513,262.8599,1299.4498,0.0,0.012509724,0.0,0,0
STH,BSD68,0.1,1,5,20000.0,40.0,0,0,0.0,26.436583,22.342041,190.57497,521.5531,0.0,0.0032641038,0.0,0,0
ordinary,BSD68,0.1,1,5,20000.0,40.0,1,250,0.1,27.874802,16.57923,160.41617,1581.2318,1587.232,0.019009203,0.019204022,0,249
smtADV,BSD68,0.1,1,5,20000.0,40.0,1,250,0.1,25.456629,17.141151,262.7765,1389.3906,1817.006,0.017141318,0.027027877,0,249
STH,BSD68,0.1,1,5,20000.0,40.0,1,250,0.1,26.417807,21.931236,191.21767,564.1869,647.10016,0.0039044505,0.005387145,0,249
ordinary,BSD68,0.1,1,5,40000.0,40.0,0,0,0.0,27.858337,15.505021,160.75053,1875.8911,0.0,0.024307145,0.0,0,0
smtADV,BSD68,0.1,1,5,40000.0,40.0,0,0,0.0,25.459618,15.611994,262.45468,1832.4045,0.0,0.019746382,0.0,0,0
STH,BSD68,0.1,1,5,40000.0,40.0,0,0,0.0,26.435993,18.833612,190.88933,1072.0083,0.0,0.010389321,0.0,0,0
ordinary,BSD68,0.1,1,5,40000.0,40.0,1,250,0.1,27.888,15.547665,160.1523,1853.674,1863.938,0.023617078,0.023862062,0,249
smtADV,BSD68,0.1,1,5,40000.0,40.0,1,250,0.1,25.456646,15.556809,262.71475,1854.6482,2426.9614,0.023444394,0.03515926,0,249
STH,BSD68,0.1,1,5,40000.0,40.0,1,250,0.1,26.411634,18.684677,191.36191,1099.1547,1225.1489,0.010723372,0.012895084,0,249
ordinary,BSD68,0.1,1,5,80000.0,40.0,0,0,0.0,27.867037,15.778947,160.47255,1753.2667,0.0,0.023009408,0.0,0,0
smtADV,BSD68,0.1,1,5,80000.0,40.0,0,0,0.0,25.46255,15.501734,262.4465,1864.6293,0.0,0.020268546,0.0,0,0
STH,BSD68,0.1,1,5,80000.0,40.0,0,0,0.0,26.43675,16.819057,190.84485,1438.3076,0.0,0.01554689,0.0,0,0
ordinary,BSD68,0.1,1,5,80000.0,40.0,1,250,0.1,27.878138,15.753337,160.2303,1761.4956,1775.0758,0.022502074,0.022784835,0,249
smtADV,BSD68,0.1,1,5,80000.0,40.0,1,250,0.1,25.454062,15.493369,262.99756,1869.7979,2499.8118,0.023764333,0.03623394,0,249
STH,BSD68,0.1,1,5,80000.0,40.0,1,250,0.1,26.414886,16.840103,191.26112,1428.8104,1687.7086,0.015655287,0.020045051,0,249
