model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ordinary,BSD68,0.1,1,5,80000.0,10.0,0,0,0.0,27.875076,22.249954,160.27611,424.98804,0.0,0.0028133183,0.0,0,0
JCBgma20,BSD68,0.1,1,5,80000.0,10.0,0,0,0.0,28.198881,22.417164,149.31206,408.7688,0.0,0.0029614882,0.0,0,0
ADV,BSD68,0.1,1,5,80000.0,10.0,0,0,0.0,28.075867,22.36977,153.73616,412.11163,0.0,0.0027730186,0.0,0,0
smtADV,BSD68,0.1,1,5,80000.0,10.0,0,0,0.0,25.452753,21.822277,262.9229,483.0155,0.0,0.0021651138,0.0,0,0
STH,BSD68,0.1,1,5,80000.0,10.0,0,0,0.0,26.414274,23.162264,191.42834,358.06583,0.0,0.0015071565,0.0,0,0
ADV,BSD68,0.1,1,5,80000.0,10.0,1,100,0.1,28.0696,22.336197,153.97443,414.63718,415.84097,0.0027787224,0.002795982,0,99
ordinary,BSD68,0.1,1,5,80000.0,10.0,1,100,0.1,27.882523,22.319502,160.07068,419.714,420.82138,0.0027786284,0.0027956637,0,99
smtADV,BSD68,0.1,1,5,80000.0,10.0,1,100,0.1,25.457022,20.648458,262.5337,608.0617,790.70166,0.0063836453,0.012098603,0,99
JCBgma20,BSD68,0.1,1,5,80000.0,10.0,1,100,0.1,28.195633,22.454882,149.22142,406.2165,406.72693,0.0029947392,0.003009716,0,99
ordinary,BSD68,0.1,1,5,80000.0,25.0,0,0,0.0,27.873592,18.440536,160.24178,967.48474,0.0,0.011011706,0.0,0,0
STH,BSD68,0.1,1,5,80000.0,10.0,1,100,0.1,26.447176,22.85173,190.45853,384.54266,468.7076,0.002051267,0.0035077576,0,99
JCBgma20,BSD68,0.1,1,5,80000.0,25.0,0,0,0.0,28.201681,18.585617,149.19528,935.9446,0.0,0.011140399,0.0,0,0
ADV,BSD68,0.1,1,5,80000.0,25.0,0,0,0.0,28.073135,18.333696,153.90329,984.8613,0.0,0.011011321,0.0,0,0
smtADV,BSD68,0.1,1,5,80000.0,25.0,0,0,0.0,25.446249,18.159706,262.91718,1033.5363,0.0,0.0091617685,0.0,0,0
STH,BSD68,0.1,1,5,80000.0,25.0,0,0,0.0,26.439547,19.359333,190.77734,814.46313,0.0,0.007360829,0.0,0,0
ADV,BSD68,0.1,1,5,80000.0,25.0,1,100,0.1,28.069077,18.294847,154.14185,993.997,998.0496,0.011368421,0.011437768,0,99
ordinary,BSD68,0.1,1,5,80000.0,25.0,1,100,0.1,27.87188,18.351694,160.44737,985.5927,989.7262,0.011078632,0.011160575,0,99
smtADV,BSD68,0.1,1,5,80000.0,25.0,1,100,0.1,25.459166,17.934448,262.4638,1084.6566,1406.1017,0.012377002,0.019965213,0,99
JCBgma20,BSD68,0.1,1,5,80000.0,25.0,1,100,0.1,28.203041,18.437008,149.23239,965.27826,970.3843,0.010991522,0.011079613,0,99
ordinary,BSD68,0.1,1,5,80000.0,50.0,0,0,0.0,27.878164,14.359826,160.2533,2418.4636,0.0,0.03331791,0.0,0,0
JCBgma20,BSD68,0.1,1,5,80000.0,50.0,0,0,0.0,28.196732,14.29409,149.34872,2451.7363,0.0,0.032887045,0.0,0,0
ADV,BSD68,0.1,1,5,80000.0,50.0,0,0,0.0,28.068527,14.460286,153.94339,2359.0562,0.0,0.032490887,0.0,0,0
STH,BSD68,0.1,1,5,80000.0,25.0,1,100,0.1,26.41674,19.28517,191.14497,826.478,986.4869,0.007562989,0.010255821,0,99
smtADV,BSD68,0.1,1,5,80000.0,50.0,0,0,0.0,25.448858,14.279727,263.0407,2460.7417,0.0,0.028609758,0.0,0,0
STH,BSD68,0.1,1,5,80000.0,50.0,0,0,0.0,26.410545,15.694729,191.44327,1858.9708,0.0,0.021173136,0.0,0,0
ADV,BSD68,0.1,1,5,80000.0,50.0,1,100,0.1,28.074385,14.41061,153.73204,2389.2534,2403.6426,0.03278772,0.03304538,0,99
ordinary,BSD68,0.1,1,5,80000.0,50.0,1,100,0.1,27.871357,14.36776,160.29291,2417.2876,2432.3752,0.03325252,0.033571567,0,99
smtADV,BSD68,0.1,1,5,80000.0,50.0,1,100,0.1,25.459032,14.433276,262.57703,2378.9321,3049.407,0.030084157,0.042078584,0,99
JCBgma20,BSD68,0.1,1,5,80000.0,50.0,1,100,0.1,28.181084,14.330255,149.59143,2432.1853,2450.3835,0.033389904,0.03367239,0,99
