model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ordinary,BSD68,0.1,1,5,10000,0.1,0,0,0,27.870844,27.80729,160.28279,161.6341,0,1.46E-06,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,0.1,0,0,0,28.19106,28.124783,149.46442,150.74973,0,1.19E-06,0,0,0
ADV,BSD68,0.1,1,5,10000,0.1,0,0,0,28.068838,28.003702,153.93448,155.28813,0,1.10E-06,0,0,0
smtADV,BSD68,0.1,1,5,10000,0.1,0,0,0,25.447763,25.410822,263.1117,264.42392,0,2.05E-06,0,0,0
STH,BSD68,0.1,1,5,10000,0.1,0,0,0,26.439915,26.404993,190.6086,191.74475,0,4.43E-07,0,0,0
ADV,BSD68,0.1,1,5,10000,0.1,1,250,0.1,28.071516,28.006618,154.04851,155.37244,155.41217,7.21E-06,1.01E-06,17,234
ordinary,BSD68,0.1,1,5,10000,0.1,1,250,0.1,27.87032,27.801403,160.41165,161.84175,161.83095,8.34E-06,1.40E-06,17,234
smtADV,BSD68,0.1,1,5,10000,0.1,1,250,0.1,25.449429,21.563547,262.9565,498.4961,364.85703,0.006250578,0.003014233,17,234
JCBgma20,BSD68,0.1,1,5,10000,0.1,1,250,0.1,28.194778,28.124714,149.55023,150.91139,150.84363,6.64E-06,9.77E-07,17,234
ordinary,BSD68,0.1,1,5,10000,0.5,0,0,0,27.873005,27.50236,160.437,168.28796,0,1.73E-05,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,0.5,0,0,0,28.185947,27.822397,149.26242,156.33188,0,1.67E-05,0,0,0
ADV,BSD68,0.1,1,5,10000,0.5,0,0,0,28.061323,27.70694,153.95056,161.32492,0,1.50E-05,0,0,0
smtADV,BSD68,0.1,1,5,10000,0.5,0,0,0,25.448309,25.24625,262.77588,269.73825,0,1.36E-05,0,0,0
STH,BSD68,0.1,1,5,10000,0.5,0,0,0,26.418526,26.243855,191.21576,197.04407,0,6.54E-06,0,0,0
STH,BSD68,0.1,1,5,10000,0.1,1,250,0.1,26.428589,24.519535,190.72278,285.79837,233.095,0.001414408,0.000857504,17,234
ordinary,BSD68,0.1,1,5,10000,0.5,1,250,0.1,27.862808,27.499367,160.61627,168.31311,168.28157,2.39E-05,2.39E-05,0,249
ADV,BSD68,0.1,1,5,10000,0.5,1,250,0.1,28.062119,27.710648,154.06778,161.36116,161.4163,2.07E-05,2.09E-05,0,249
JCBgma20,BSD68,0.1,1,5,10000,0.5,1,250,0.1,28.18656,27.81622,149.42273,156.60684,156.58345,2.25E-05,2.25E-05,0,249
ordinary,BSD68,0.1,1,5,10000,1,0,0,0,27.869736,27.054493,160.44807,178.28311,0,7.02E-05,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,1,0,0,0,28.185434,27.363743,149.2776,165.7174,0,7.19E-05,0,0,0
ADV,BSD68,0.1,1,5,10000,1,0,0,0,28.06974,27.262596,153.88245,170.95532,0,6.55E-05,0,0,0
smtADV,BSD68,0.1,1,5,10000,1,0,0,0,25.455095,25.016111,262.68274,278.11517,0,5.17E-05,0,0,0
STH,BSD68,0.1,1,5,10000,1,0,0,0,26.424135,26.06865,190.93394,203.02682,0,2.53E-05,0,0,0
smtADV,BSD68,0.1,1,5,10000,0.5,1,250,0.1,25.45259,21.546135,262.9444,500.5916,679.8937,0.006243306,0.012892447,0,249
ordinary,BSD68,0.1,1,5,10000,1,1,250,0.1,27.869005,27.075651,160.40953,177.8018,177.80234,7.47E-05,7.51E-05,0,249
STH,BSD68,0.1,1,5,10000,0.5,1,250,0.1,26.408552,24.471079,191.43329,288.5982,389.05222,0.001392959,0.003084179,0,249
JCBgma20,BSD68,0.1,1,5,10000,1,1,250,0.1,28.187454,27.32399,149.4863,166.66391,166.63893,8.31E-05,8.32E-05,0,249
ADV,BSD68,0.1,1,5,10000,1,1,250,0.1,28.066248,27.298098,154.00664,170.33003,170.39754,6.56E-05,6.60E-05,0,249
ordinary,BSD68,0.1,1,5,10000,1.5,0,0,0,27.859573,26.607529,160.81895,190.47508,0,0.000154629,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,1.5,0,0,0,28.16551,26.91044,149.5943,176.73755,0,0.000154022,0,0,0
ADV,BSD68,0.1,1,5,10000,1.5,0,0,0,28.064121,26.818514,154.05084,182.68016,0,0.000146503,0,0,0
