model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ordinary,BSD68,0.1,1,2,5000.0,0.01,0,0,0.0,27.862585,27.855839,160.6558,160.80598,0.0,8.353138e-07,0.0,0,0
JCBgma20,BSD68,0.1,1,2,5000.0,0.01,0,0,0.0,28.189323,28.182722,149.43112,149.5598,0.0,4.888797e-07,0.0,0,0
ADV,BSD68,0.1,1,2,5000.0,0.01,0,0,0.0,28.07688,28.070423,153.72304,153.86159,0.0,6.208581e-07,0.0,0,0
smtADV,BSD68,0.1,1,2,5000.0,0.01,0,0,0.0,25.457941,25.454208,262.5831,262.72177,0.0,2.074135e-06,0.0,0,0
STH,BSD68,0.1,1,2,5000.0,0.01,0,0,0.0,26.411144,26.407589,191.46643,191.58427,0.0,1.2734996e-07,0.0,0,0
ADV,BSD68,0.1,1,2,5000.0,0.01,1,250,0.1,28.069778,28.064138,153.93977,154.04959,154.07112,6.7669184e-06,3.0417198e-07,82,169
ordinary,BSD68,0.1,1,2,5000.0,0.01,1,250,0.1,27.879133,27.869335,160.16971,160.33334,160.30983,7.935949e-06,3.3379607e-07,82,169
smtADV,BSD68,0.1,1,2,5000.0,0.01,1,250,0.1,25.457884,21.571726,262.55444,497.36304,272.1046,0.0062482757,0.00023883839,82,169
JCBgma20,BSD68,0.1,1,2,5000.0,0.01,1,250,0.1,28.19065,28.181528,149.37462,149.58441,149.49132,5.929304e-06,3.1020468e-07,82,169
ordinary,BSD68,0.1,1,2,5000.0,0.05,0,0,0.0,27.871935,27.839214,160.32788,161.03198,0.0,7.8267755e-07,0.0,0,0
JCBgma20,BSD68,0.1,1,2,5000.0,0.05,0,0,0.0,28.184128,28.150555,149.43571,150.0932,0.0,8.044307e-07,0.0,0,0
ADV,BSD68,0.1,1,2,5000.0,0.05,0,0,0.0,28.07536,28.042757,153.65382,154.32198,0.0,6.793496e-07,0.0,0,0
smtADV,BSD68,0.1,1,2,5000.0,0.05,0,0,0.0,25.456608,25.438547,262.55054,263.17917,0.0,2.025018e-06,0.0,0,0
STH,BSD68,0.1,1,2,5000.0,0.05,0,0,0.0,26.447815,26.430443,190.5682,191.12732,0.0,1.8571309e-07,0.0,0,0
STH,BSD68,0.1,1,2,5000.0,0.01,1,250,0.1,26.433725,24.529903,190.77298,285.24567,183.44904,0.0014120493,0.00011090046,82,169
ordinary,BSD68,0.1,1,2,5000.0,0.05,1,250,0.1,27.871775,27.837326,160.43417,161.11124,161.12917,7.921199e-06,3.5138856e-07,47,204
ADV,BSD68,0.1,1,2,5000.0,0.05,1,250,0.1,28.067324,28.035744,154.10657,154.76875,154.7821,6.9465623e-06,5.139451e-07,47,204
JCBgma20,BSD68,0.1,1,2,5000.0,0.05,1,250,0.1,28.189232,28.153759,149.35022,150.05269,149.98027,6.177628e-06,4.5603096e-07,47,204
ordinary,BSD68,0.1,1,2,5000.0,0.3,0,0,0.0,27.869873,27.66443,160.48816,164.91113,0.0,5.9339636e-06,0.0,0,0
JCBgma20,BSD68,0.1,1,2,5000.0,0.3,0,0,0.0,28.196404,27.983145,149.29213,153.38489,0.0,5.7794223e-06,0.0,0,0
ADV,BSD68,0.1,1,2,5000.0,0.3,0,0,0.0,28.073135,27.867622,153.89172,158.1622,0.0,5.276354e-06,0.0,0,0
smtADV,BSD68,0.1,1,2,5000.0,0.3,0,0,0.0,25.456919,25.340662,262.94827,267.0027,0.0,5.9481126e-06,0.0,0,0
STH,BSD68,0.1,1,2,5000.0,0.3,0,0,0.0,26.43585,26.329971,190.53223,193.99971,0.0,2.4810104e-06,0.0,0,0
smtADV,BSD68,0.1,1,2,5000.0,0.05,1,250,0.1,25.43442,21.558279,263.4332,498.8504,297.43896,0.006260551,0.0009436648,47,204
ordinary,BSD68,0.1,1,2,5000.0,0.3,1,250,0.1,27.862558,27.656693,160.72807,165.09343,165.06682,1.2319411e-05,1.23837135e-05,0,249
STH,BSD68,0.1,1,2,5000.0,0.05,1,250,0.1,26.421259,24.501396,191.13174,286.72763,196.93816,0.0014166139,0.00031661964,47,204
JCBgma20,BSD68,0.1,1,2,5000.0,0.3,1,250,0.1,28.169203,27.958548,149.83517,153.97327,153.93205,1.0917369e-05,1.0893595e-05,0,249
ordinary,BSD68,0.1,1,2,5000.0,1.5,0,0,0.0,27.874762,26.952633,160.46506,185.72356,0.0,9.476584e-05,0.0,0,0
JCBgma20,BSD68,0.1,1,2,5000.0,1.5,0,0,0.0,28.186108,27.22143,149.5113,172.85739,0.0,9.4427975e-05,0.0,0,0
ADV,BSD68,0.1,1,2,5000.0,1.5,0,0,0.0,28.062038,27.13262,154.30896,178.797,0.0,9.159074e-05,0.0,0,0
smtADV,BSD68,0.1,1,2,5000.0,1.5,0,0,0.0,25.45363,24.942776,262.67023,284.1863,0.0,6.9388945e-05,0.0,0,0
STH,BSD68,0.1,1,2,5000.0,1.5,0,0,0.0,26.44839,26.034752,190.38692,206.55714,0.0,3.725229e-05,0.0,0,0
ADV,BSD68,0.1,1,2,5000.0,0.3,1,250,0.1,28.07802,27.880032,153.69583,157.80229,157.84477,1.0917349e-05,1.1028569e-05,0,249
ordinary,BSD68,0.1,1,2,5000.0,1.5,1,250,0.1,27.872944,26.979753,160.30078,184.52861,184.54553,9.736215e-05,9.7861106e-05,0,249
smtADV,BSD68,0.1,1,2,5000.0,0.3,1,250,0.1,25.453049,21.544346,262.82,500.49655,678.0375,0.0062626954,0.012969416,0,249
JCBgma20,BSD68,0.1,1,2,5000.0,1.5,1,250,0.1,28.180824,27.276058,149.55354,171.639,171.62743,8.883111e-05,8.895751e-05,0,249
ordinary,BSD68,0.1,1,2,5000.0,3.0,0,0,0.0,27.864313,26.670654,160.4204,200.55333,0.0,0.0001920835,0.0,0,0
JCBgma20,BSD68,0.1,1,2,5000.0,3.0,0,0,0.0,28.177593,27.002823,149.77612,185.42966,0.0,0.00016916453,0.0,0,0
ADV,BSD68,0.1,1,2,5000.0,3.0,0,0,0.0,28.075506,26.946844,153.75235,190.55516,0.0,0.00016715408,0.0,0,0
smtADV,BSD68,0.1,1,2,5000.0,3.0,0,0,0.0,25.457544,24.836416,262.7507,293.221,0.0,0.00011947209,0.0,0,0
STH,BSD68,0.1,1,2,5000.0,3.0,0,0,0.0,26.419558,25.95716,191.23807,211.04991,0.0,5.2411266e-05,0.0,0,0
STH,BSD68,0.1,1,2,5000.0,0.3,1,250,0.1,26.444479,24.506462,190.60931,286.91043,388.62897,0.0014024554,0.003109373,0,249
ordinary,BSD68,0.1,1,2,5000.0,3.0,1,250,0.1,27.866737,26.692932,160.63165,200.23473,200.34233,0.00019229743,0.00019346538,0,249
ADV,BSD68,0.1,1,2,5000.0,1.5,1,250,0.1,28.076685,27.168575,153.84738,177.48227,177.59482,9.345839e-05,9.407866e-05,0,249
JCBgma20,BSD68,0.1,1,2,5000.0,3.0,1,250,0.1,28.197275,27.068289,149.20885,183.0144,183.08533,0.00016468472,0.00016530999,0,249
smtADV,BSD68,0.1,1,2,5000.0,1.5,1,250,0.1,25.45195,21.45073,262.79468,511.39426,691.04175,0.006311547,0.013048795,0,249
STH,BSD68,0.1,1,2,5000.0,1.5,1,250,0.1,26.441975,24.440136,190.57484,291.24017,386.60303,0.0013404287,0.002958822,0,249
ADV,BSD68,0.1,1,2,5000.0,3.0,1,250,0.1,28.07675,26.953405,153.77711,190.09694,190.2563,0.00016989846,0.00017118847,0,249
smtADV,BSD68,0.1,1,2,5000.0,3.0,1,250,0.1,25.457901,21.397646,262.52597,518.8253,697.20746,0.006373124,0.013064206,0,249
STH,BSD68,0.1,1,2,5000.0,3.0,1,250,0.1,26.42287,24.425709,190.96368,293.3408,387.48962,0.0013304069,0.0029424247,0,249
