model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ordinary,BSD68,0.1,1,2,5000,0.1,0,0,0,27.87331,27.808111,160.24335,161.64513,0,1.30E-06,0,0,0
JCBgma10,BSD68,0.1,1,2,5000,0.1,0,0,0,28.074518,28.008377,153.63556,155.00977,0,1.13E-06,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,0.1,0,0,0,28.186935,28.121647,149.37808,150.66698,0,1.13E-06,0,0,0
JCBgma30,BSD68,0.1,1,2,5000,0.1,0,0,0,28.19893,28.132818,148.8541,150.15274,0,9.65E-07,0,0,0
ADV,BSD68,0.1,1,2,5000,0.1,0,0,0,28.075317,28.009563,153.77606,155.13518,0,1.20E-06,0,0,0
ordinary,BSD68,0.1,1,2,5000,0.1,1,250,0.1,27.872116,27.804285,160.31393,161.7386,161.70833,8.20E-06,1.13E-06,17,234
JCBgma10,BSD68,0.1,1,2,5000,0.1,1,250,0.1,28.059372,27.992266,153.78366,155.1797,155.15384,8.66E-06,1.45E-06,17,234
JCBgma20,BSD68,0.1,1,2,5000,0.1,1,250,0.1,28.181791,28.114243,149.39436,150.73268,150.646,6.52E-06,1.00E-06,17,234
JCBgma30,BSD68,0.1,1,2,5000,0.1,1,250,0.1,28.181768,28.11289,149.55963,150.97418,150.86784,6.34E-06,8.67E-07,17,234
ADV,BSD68,0.1,1,2,5000,0.1,1,250,0.1,28.067032,28.002684,154.06445,155.40665,155.44005,7.10E-06,1.03E-06,17,234
ordinary,BSD68,0.1,1,2,5000,0.5,0,0,0,27.877005,27.523054,160.49667,168.19331,0,1.43E-05,0,0,0
JCBgma10,BSD68,0.1,1,2,5000,0.5,0,0,0,28.061806,27.709373,153.96419,161.52538,0,1.30E-05,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,0.5,0,0,0,28.171988,27.812355,149.65321,156.70634,0,1.44E-05,0,0,0
JCBgma30,BSD68,0.1,1,2,5000,0.5,0,0,0,28.190216,27.838408,149.13057,156.15723,0,1.25E-05,0,0,0
ADV,BSD68,0.1,1,2,5000,0.5,0,0,0,28.082212,27.730896,153.71272,161.04553,0,1.30E-05,0,0,0
ordinary,BSD68,0.1,1,2,5000,0.5,1,250,0.1,27.871183,27.518337,160.55785,168.19926,168.18654,2.09E-05,2.10E-05,0,249
JCBgma10,BSD68,0.1,1,2,5000,0.5,1,250,0.1,28.069473,27.722603,153.80464,161.18378,161.24536,2.00E-05,2.01E-05,0,249
JCBgma20,BSD68,0.1,1,2,5000,0.5,1,250,0.1,28.191147,27.835758,149.31494,156.2995,156.28813,1.82E-05,1.82E-05,0,249
JCBgma30,BSD68,0.1,1,2,5000,0.5,1,250,0.1,28.196865,27.845238,149.11272,156.19275,156.09897,1.80E-05,1.80E-05,0,249
ADV,BSD68,0.1,1,2,5000,0.5,1,250,0.1,28.068846,27.725397,153.89563,161.06172,161.11684,1.89E-05,1.91E-05,0,249
ordinary,BSD68,0.1,1,2,5000,1,0,0,0,27.865072,27.175272,160.33504,176.84021,0,4.98E-05,0,0,0
JCBgma10,BSD68,0.1,1,2,5000,1,0,0,0,28.068117,27.383928,153.91597,170.20683,0,4.61E-05,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,1,0,0,0,28.165628,27.456371,149.7467,165.03654,0,4.87E-05,0,0,0
JCBgma30,BSD68,0.1,1,2,5000,1,0,0,0,28.203545,27.523743,148.76862,163.83797,0,4.50E-05,0,0,0
ADV,BSD68,0.1,1,2,5000,1,0,0,0,28.07074,27.386124,153.97415,169.83781,0,4.69E-05,0,0,0
ordinary,BSD68,0.1,1,2,5000,1,1,250,0.1,27.868593,27.20328,160.6084,176.66878,176.66495,5.52E-05,5.54E-05,0,249
JCBgma10,BSD68,0.1,1,2,5000,1,1,250,0.1,28.066513,27.393665,153.60832,169.46024,169.55556,5.25E-05,5.28E-05,0,249
JCBgma20,BSD68,0.1,1,2,5000,1,1,250,0.1,28.188871,27.488083,149.35266,164.35576,164.34497,5.22E-05,5.23E-05,0,249
JCBgma30,BSD68,0.1,1,2,5000,1,1,250,0.1,28.203476,27.528608,148.83273,163.82558,163.74715,4.92E-05,4.92E-05,0,249
ADV,BSD68,0.1,1,2,5000,1,1,250,0.1,28.076876,27.416573,153.79054,169.0269,169.12341,4.96E-05,5.00E-05,0,249
ordinary,BSD68,0.1,1,2,5000,5,0,0,0,27.875393,26.683949,160.22142,201.56415,0,0.000199711,0,0,0
JCBgma10,BSD68,0.1,1,2,5000,5,0,0,0,28.059978,26.847473,153.92549,197.0302,0,0.000203912,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,5,0,0,0,28.189903,27.062685,149.39209,183.76364,0,0.000163709,0,0,0
JCBgma30,BSD68,0.1,1,2,5000,5,0,0,0,28.197922,27.05769,149.01015,185.39066,0,0.000169827,0,0,0
ADV,BSD68,0.1,1,2,5000,5,0,0,0,28.074186,26.93355,153.90796,192.73344,0,0.000181403,0,0,0
ordinary,BSD68,0.1,1,2,5000,5,1,250,0.1,27.872784,26.663664,160.45815,202.6321,202.73398,0.000212025,0.00021319,0,249
JCBgma10,BSD68,0.1,1,2,5000,5,1,250,0.1,28.056955,26.883648,153.84503,195.22668,195.45723,0.000200312,0.000201874,0,249
JCBgma20,BSD68,0.1,1,2,5000,5,1,250,0.1,28.19631,27.069931,149.16588,183.04872,183.09834,0.000165618,0.000166105,0,249
JCBgma30,BSD68,0.1,1,2,5000,5,1,250,0.1,28.189224,27.093483,149.17607,184.10326,184.15622,0.000164906,0.000165689,0,249
ADV,BSD68,0.1,1,2,5000,5,1,250,0.1,28.065151,26.926132,153.92447,191.49995,191.69286,0.000178747,0.000180202,0,249
ordinary,BSD68,0.1,1,2,5000,10,0,0,0,27.878128,26.666447,160.1544,202.59895,0,0.000207058,0,0,0
JCBgma10,BSD68,0.1,1,2,5000,10,0,0,0,28.059912,26.831476,154.19547,198.24043,0,0.00021226,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,10,0,0,0,28.18157,27.03345,149.40237,184.17282,0,0.000165017,0,0,0
JCBgma30,BSD68,0.1,1,2,5000,10,0,0,0,28.205313,27.077839,148.76851,184.62357,0,0.000164757,0,0,0
ADV,BSD68,0.1,1,2,5000,10,0,0,0,28.077045,26.935019,153.70715,191.70787,0,0.000175614,0,0,0
ordinary,BSD68,0.1,1,2,5000,10,1,250,0.1,27.87087,26.668036,160.57483,203.02345,203.1576,0.000211661,0.000212957,0,249
JCBgma10,BSD68,0.1,1,2,5000,10,1,250,0.1,28.054855,26.875498,153.90556,195.28741,195.49364,0.000201143,0.000202714,0,249
JCBgma20,BSD68,0.1,1,2,5000,10,1,250,0.1,28.171644,27.026398,149.71672,184.46709,184.4642,0.000169991,0.000170445,0,249
JCBgma30,BSD68,0.1,1,2,5000,10,1,250,0.1,28.190125,27.063639,149.30913,185.49358,185.55006,0.000168823,0.000169663,0,249
ADV,BSD68,0.1,1,2,5000,10,1,250,0.1,28.071728,26.93141,153.80171,191.46768,191.6509,0.000179196,0.000180596,0,249
ordinary,BSD68,0.1,1,2,5000,15,0,0,0,27.865322,26.668394,160.40588,201.83543,0,0.000199675,0,0,0
JCBgma10,BSD68,0.1,1,2,5000,15,0,0,0,28.05135,26.834322,153.8575,196.70464,0,0.000202656,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,15,0,0,0,28.188925,27.003546,149.46701,185.67854,0,0.000179662,0,0,0
JCBgma30,BSD68,0.1,1,2,5000,15,0,0,0,28.189451,27.07579,149.16011,184.58739,0,0.000162239,0,0,0
ADV,BSD68,0.1,1,2,5000,15,0,0,0,28.077724,26.954397,153.7012,191.46326,0,0.000172427,0,0,0
ordinary,BSD68,0.1,1,2,5000,15,1,250,0.1,27.870987,26.639925,160.60681,203.65062,203.71129,0.000215449,0.000216223,0,249
JCBgma10,BSD68,0.1,1,2,5000,15,1,250,0.1,28.063353,26.85804,153.82732,196.08302,196.2878,0.000205401,0.000206873,0,249
JCBgma20,BSD68,0.1,1,2,5000,15,1,250,0.1,28.182596,26.991205,149.56029,185.27069,185.29663,0.000182928,0.000183448,0,249
JCBgma30,BSD68,0.1,1,2,5000,15,1,250,0.1,28.19218,27.045492,149.10248,185.49529,185.56438,0.000173598,0.000174509,0,249
ADV,BSD68,0.1,1,2,5000,15,1,250,0.1,28.071947,26.940596,153.83467,191.44162,191.61945,0.000178765,0.000180154,0,249
ordinary,BSD68,0.1,1,2,5000,20,0,0,0,27.870829,26.687914,160.24167,201.61444,0,0.000198028,0,0,0
JCBgma10,BSD68,0.1,1,2,5000,20,0,0,0,28.065872,26.86294,153.79602,196.1554,0,0.000199226,0,0,0
JCBgma20,BSD68,0.1,1,2,5000,20,0,0,0,28.199018,27.053469,149.2008,184.00085,0,0.000168096,0,0,0
JCBgma30,BSD68,0.1,1,2,5000,20,0,0,0,28.180267,27.036263,149.2733,185.52473,0,0.000168236,0,0,0
ADV,BSD68,0.1,1,2,5000,20,0,0,0,28.071863,26.923618,153.76355,192.21808,0,0.000182467,0,0,0
ordinary,BSD68,0.1,1,2,5000,20,1,250,0.1,27.860172,26.621187,160.81398,204.1098,204.19887,0.000214862,0.000215847,0,249
JCBgma10,BSD68,0.1,1,2,5000,20,1,250,0.1,28.062994,26.871681,153.72253,195.87695,196.11693,0.000205083,0.000206678,0,249
JCBgma20,BSD68,0.1,1,2,5000,20,1,250,0.1,28.182308,27.030613,149.44434,184.22495,184.25143,0.000173038,0.000173648,0,249
JCBgma30,BSD68,0.1,1,2,5000,20,1,250,0.1,28.191008,27.04744,149.10144,185.53717,185.62405,0.000174891,0.000175939,0,249
ADV,BSD68,0.1,1,2,5000,20,1,250,0.1,28.0751,26.92113,153.808,192.16,192.33752,0.000184733,0.000186254,0,249
smtADV,BSD68,0.1,1,2,5000,0.1,0,0,0,25.453241,25.417233,262.6954,264.01196,0,2.10E-06,0,0,0
STH,BSD68,0.1,1,2,5000,0.1,0,0,0,26.443316,26.40804,190.64438,191.80768,0,4.34E-07,0,0,0
smtADV,BSD68,0.1,1,2,5000,0.1,1,250,0.1,25.457767,21.572104,262.54376,497.4974,364.1161,0.006243683,0.003012527,17,234
