model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ISTA,Set11,10,1,5,500.0,1.0,0,0,0.0,27.775072,24.800182,139.83571,236.73814,0.0,0.00060083193,0.0,0,0
ADV,Set11,10,1,5,500.0,1.0,0,0,0.0,27.179253,24.851954,157.95818,236.14784,0.0,0.00040030814,0.0,0,0
JCBgma10,Set11,10,1,5,500.0,1.0,0,0,0.0,27.654255,24.754309,142.7737,242.79181,0.0,0.00060644787,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,1.0,0,0,0.0,27.739998,24.727747,140.68468,241.97316,0.0,0.0006323931,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,1.0,0,0,0.0,27.704994,24.581158,141.66571,250.12457,0.0,0.00069951784,0.0,0,0
smtADV,Set11,10,1,5,500.0,1.0,0,0,0.0,27.161934,24.696098,157.48805,242.84561,0.0,0.00046618574,0.0,0,0
STH,Set11,10,1,5,500.0,1.0,0,0,0.0,27.303133,24.795006,150.91711,239.75981,0.0,0.0005052863,0.0,0,0
ISTA,Set11,10,1,5,500.0,1.0,1,100,0.04,27.775072,25.294268,139.83571,221.06924,639.4929,0.0005368462,0.00668489,0,99
ADV,Set11,10,1,5,500.0,1.0,1,100,0.04,27.179253,25.127888,157.95818,231.74419,548.0391,0.0004470613,0.0051572933,0,99
JCBgma10,Set11,10,1,5,500.0,1.0,1,100,0.04,27.654255,25.138567,142.7737,227.71182,664.0839,0.0005538039,0.007052699,0,99
JCBgma20,Set11,10,1,5,500.0,1.0,1,100,0.04,27.739998,25.252422,140.68468,223.26418,650.9722,0.000538143,0.0069346037,0,99
JCBgma30,Set11,10,1,5,500.0,1.0,1,100,0.04,27.704994,25.131126,141.66571,228.24072,681.5428,0.00058594724,0.007502022,0,99
smtADV,Set11,10,1,5,500.0,1.0,1,100,0.04,27.161934,25.12433,157.48805,230.29515,568.19385,0.0004640866,0.005580224,0,99
STH,Set11,10,1,5,500.0,1.0,1,100,0.04,27.303133,25.024132,150.91711,231.49634,482.0339,0.0005157797,0.004312958,0,99
ISTA,Set11,10,1,5,500.0,0.5,0,0,0.0,27.775072,26.230116,139.83571,181.07133,0.0,0.00016715055,0.0,0,0
ADV,Set11,10,1,5,500.0,0.5,0,0,0.0,27.179253,25.99644,157.95818,191.91943,0.0,0.000106139276,0.0,0,0
JCBgma10,Set11,10,1,5,500.0,0.5,0,0,0.0,27.654255,26.153944,142.7737,185.74295,0.0,0.00017137574,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,0.5,0,0,0.0,27.739998,26.183796,140.68468,183.72594,0.0,0.00017409705,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,0.5,0,0,0.0,27.704994,26.06256,141.66571,188.5493,0.0,0.00020380212,0.0,0,0
smtADV,Set11,10,1,5,500.0,0.5,0,0,0.0,27.161934,25.89629,157.48805,194.75018,0.0,0.00012861186,0.0,0,0
STH,Set11,10,1,5,500.0,0.5,0,0,0.0,27.303133,26.01284,150.91711,190.00462,0.0,0.00014504111,0.0,0,0
ISTA,Set11,10,1,5,500.0,0.5,1,100,0.04,27.775072,26.263477,139.83571,183.852,598.8791,0.0002774689,0.0063546626,0,99
ADV,Set11,10,1,5,500.0,0.5,1,100,0.04,27.179253,25.86964,157.95818,200.99538,517.2707,0.00026091313,0.004950581,0,99
JCBgma10,Set11,10,1,5,500.0,0.5,1,100,0.04,27.654255,26.185017,142.7737,186.06671,621.5301,0.00026044302,0.00673198,0,99
JCBgma20,Set11,10,1,5,500.0,0.5,1,100,0.04,27.739998,26.274712,140.68468,183.48936,614.2437,0.0002552017,0.006681511,0,99
JCBgma30,Set11,10,1,5,500.0,0.5,1,100,0.04,27.704994,26.210136,141.66571,185.70375,641.2819,0.00027947853,0.0072083008,0,99
smtADV,Set11,10,1,5,500.0,0.5,1,100,0.04,27.161934,25.948353,157.48805,197.0522,535.3165,0.0002632622,0.005372314,0,99
STH,Set11,10,1,5,500.0,0.5,1,100,0.04,27.303133,25.96507,150.91711,192.33057,445.88153,0.00025238498,0.004088011,0,99
ISTA,Set11,10,1,5,500.0,2.0,0,0,0.0,27.775072,22.67867,139.83571,368.81284,0.0,0.0019024321,0.0,0,0
